Title;
Time;Serial_No;Conc5_TC
27.05.2026 14:05:19;14362;156418.84
27.05.2026 14:05:20;14362;156421.94
27.05.2026 14:05:21;14362;156423.88
27.05.2026 14:05:22;14362;156424.94
27.05.2026 14:05:23;14362;156425.5
27.05.2026 14:05:24;14362;156423.28
27.05.2026 14:05:25;14362;156395.95
27.05.2026 14:05:26;14362;156065.45
27.05.2026 14:05:27;14362;156143.14
27.05.2026 14:05:28;14362;156290.2
27.05.2026 14:05:29;14362;156363.02
27.05.2026 14:05:30;14362;150355.23
27.05.2026 14:05:31;14362;150659.44
27.05.2026 14:05:32;14362;153618.03
27.05.2026 14:05:33;14362;154768.03
27.05.2026 14:05:34;14362;155287.3
27.05.2026 14:05:35;14362;155584.62
27.05.2026 14:05:36;14362;155763.45
27.05.2026 14:05:37;14362;155877.77
27.05.2026 14:05:38;14362;155965.17
27.05.2026 14:05:39;14362;156033.06
27.05.2026 14:05:40;14362;156085.27
27.05.2026 14:05:41;14362;156127.55
27.05.2026 14:05:42;14362;156160.48
27.05.2026 14:05:43;14362;156193.39
27.05.2026 14:05:44;14362;156218.5
27.05.2026 14:05:45;14362;156238.78
27.05.2026 14:05:46;14362;156252.72
27.05.2026 14:05:47;14362;156277.12
27.05.2026 14:05:48;14362;156298.88
27.05.2026 14:05:49;14362;156312.9
27.05.2026 14:05:50;14362;156322.02
27.05.2026 14:05:51;14362;156332.14
27.05.2026 14:05:52;14362;156340.66
27.05.2026 14:05:53;14362;156353.31
27.05.2026 14:05:54;14362;156361.62
27.05.2026 14:05:55;14362;156367.17
27.05.2026 14:05:56;14362;156374.83
27.05.2026 14:05:57;14362;156379.45
27.05.2026 14:05:58;14362;156387.11
27.05.2026 14:05:59;14362;156392.95
27.05.2026 14:06:00;14362;156399.19
27.05.2026 14:06:01;14362;156402.08
27.05.2026 14:06:02;14362;156406.06
27.05.2026 14:06:03;14362;156408.45
27.05.2026 14:06:04;14362;156411.7
27.05.2026 14:06:05;14362;156413.7
27.05.2026 14:06:06;14362;156417.05
27.05.2026 14:06:07;14362;156422.33
27.05.2026 14:06:08;14362;156425.92
27.05.2026 14:06:09;14362;156429.95
27.05.2026 14:06:10;14362;156432.66
27.05.2026 14:06:11;14362;156434.14
27.05.2026 14:06:12;14362;156433.73
27.05.2026 14:06:13;14362;156435.69
27.05.2026 14:06:14;14362;156438.47
27.05.2026 14:06:15;14362;156440.23
