Title;
Time;Serial_No;Conc5_TC
26.05.2026 14:45:04;14362;141326.47
26.05.2026 14:45:05;14362;141359.16
26.05.2026 14:45:06;14362;141378.53
26.05.2026 14:45:07;14362;141390.08
26.05.2026 14:45:08;14362;141397.3
26.05.2026 14:45:09;14362;141405.1
26.05.2026 14:45:10;14362;141404.78
26.05.2026 14:45:11;14362;141414.1
26.05.2026 14:45:12;14362;141425.45
26.05.2026 14:45:13;14362;141429.66
26.05.2026 14:45:14;14362;141431.19
26.05.2026 14:45:15;14362;141431.67
26.05.2026 14:45:16;14362;141433.78
26.05.2026 14:45:17;14362;141435.3
26.05.2026 14:45:18;14362;141437.25
26.05.2026 14:45:19;14362;141439.05
26.05.2026 14:45:20;14362;141440.75
26.05.2026 14:45:21;14362;141443.3
26.05.2026 14:45:22;14362;141435.4
26.05.2026 14:45:23;14362;141367.61
26.05.2026 14:45:24;14362;141241.7
26.05.2026 14:45:25;14362;141315.12
26.05.2026 14:45:26;14362;141379.56
26.05.2026 14:45:27;14362;141079.1
26.05.2026 14:45:28;14362;138360.06
26.05.2026 14:45:29;14362;139623.81
26.05.2026 14:45:30;14362;140500.16
26.05.2026 14:45:31;14362;140845.36
26.05.2026 14:45:33;14362;141018.22
26.05.2026 14:45:33;14362;141130.83
26.05.2026 14:45:34;14362;141207.92
26.05.2026 14:45:35;14362;141251.9
26.05.2026 14:45:36;14362;141281.95
26.05.2026 14:45:37;14362;141306.12
26.05.2026 14:45:38;14362;141325
26.05.2026 14:45:39;14362;141338.05
26.05.2026 14:45:40;14362;141349.83
26.05.2026 14:45:41;14362;141360.23
26.05.2026 14:45:42;14362;141365.66
26.05.2026 14:45:43;14362;141369.52
26.05.2026 14:45:44;14362;141377.05
26.05.2026 14:45:45;14362;141381.34
26.05.2026 14:45:46;14362;141385.44
26.05.2026 14:45:47;14362;141389.55
26.05.2026 14:45:48;14362;141393.34
26.05.2026 14:45:49;14362;141397.31
26.05.2026 14:45:50;14362;141399.88
26.05.2026 14:45:51;14362;141400.36
26.05.2026 14:45:52;14362;141400.97
26.05.2026 14:45:53;14362;141400.58
26.05.2026 14:45:54;14362;141402.66
26.05.2026 14:45:55;14362;141597.84
26.05.2026 14:45:56;14362;134865.98
26.05.2026 14:45:58;14362;83267.28
26.05.2026 14:45:58;14362;51792.61
26.05.2026 14:45:59;14362;35034.086
26.05.2026 14:46:01;14362;28117.85
26.05.2026 14:46:01;14362;25055.738
26.05.2026 14:46:02;14362;19899.086
26.05.2026 14:46:03;14362;16440.229
